@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 8.8238e-08 1.0000e+00 
  0.370 1.7648e-07 2.0000e+00 
  0.414 1.5883e-06 1.8000e+01 
  0.464 5.2060e-06 5.9000e+01 
  0.520 1.1912e-05 1.3500e+02 
  0.582 2.8501e-05 3.2300e+02 
  0.652 4.8090e-05 5.4500e+02 
  0.730 8.0825e-05 7.0800e+02 
  0.818 1.1762e-04 0.0000e+00 
  0.916 1.6068e-04 0.0000e+00 
  1.026 3.6690e-04 1.0000e+00 
  1.149 1.6820e-03 1.4000e+01 
  1.286 5.4076e-03 8.3000e+01 
  1.441 1.2068e-02 5.4800e+02 
  1.614 2.2818e-02 2.2880e+03 
  1.807 3.5732e-02 6.9520e+03 
  2.024 5.3742e-02 1.8775e+04 
  2.267 7.8491e-02 3.9190e+04 
  2.538 1.1269e-01 7.6448e+04 
  2.843 1.6330e-01 1.2643e+05 
  3.184 2.1988e-01 1.8097e+05 
  3.566 3.0493e-01 2.5222e+05 
  3.993 3.7813e-01 3.0430e+05 
  4.472 4.7455e-01 3.6258e+05 
  5.008 5.3499e-01 3.8272e+05 
  5.609 6.0801e-01 4.0902e+05 
  6.282 6.2206e-01 3.9208e+05 
  7.035 6.5065e-01 3.8300e+05 
  7.879 6.1587e-01 3.4114e+05 
  8.824 6.0061e-01 3.1344e+05 
  9.882 5.3350e-01 2.6254e+05 
 11.068 4.9228e-01 2.3028e+05 
 12.395 4.1635e-01 1.8624e+05 
 13.882 3.6825e-01 1.5748e+05 
 15.546 2.9939e-01 1.2286e+05 
 17.411 2.5625e-01 1.0222e+05 
 19.499 2.0209e-01 7.8288e+04 
 21.838 1.6873e-01 6.2912e+04 
 24.457 1.3022e-01 4.7530e+04 
 27.390 1.0689e-01 3.8464e+04 
 30.675 8.1072e-02 2.8188e+04 
 34.354 6.5537e-02 2.2443e+04 
 38.474 4.9065e-02 1.6511e+04 
 43.089 3.9227e-02 1.3221e+04 
 48.256 2.9159e-02 9.6320e+03 
 54.044 2.3100e-02 7.5180e+03 
 60.526 1.7002e-02 5.5360e+03 
 67.785 1.3292e-02 4.0800e+03 
 75.915 9.6964e-03 2.9800e+03 
 85.019 7.4092e-03 2.1080e+03 
 95.216 5.2935e-03 1.5160e+03 
106.636 4.0194e-03 1.1210e+03 
119.425 2.8869e-03 7.6900e+02 
133.748 2.0184e-03 4.7600e+02 
149.789 1.4874e-03 3.7400e+02 
167.754 9.8860e-04 2.4800e+02 
187.873 6.9893e-04 1.5900e+02 
210.406 4.7824e-04 1.1100e+02 
235.640 3.4439e-04 6.9000e+01 
263.902 2.1734e-04 4.0000e+01 
295.552 1.5256e-04 2.8000e+01 
330.999 1.0041e-04 2.1000e+01 
370.697 6.9885e-05 1.1000e+01 
415.156 4.1473e-05 4.0000e+00 
464.948 2.8675e-05 6.0000e+00 
520.711 1.8794e-05 4.0000e+00 
583.162 1.3851e-05 2.0000e+00 
653.102 8.6474e-06 2.0000e+00 
731.432 6.1766e-06 1.0000e+00 
819.155 4.6767e-06 0.0000e+00 
917.400 2.7354e-06 0.0000e+00 
1027.427 9.7063e-07 0.0000e+00 
1150.650 9.7063e-07 0.0000e+00 
1288.653 6.1767e-07 0.0000e+00 
1443.206 1.7648e-07 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 1.7648e-07 0.0000e+00 
2027.242 8.8238e-08 0.0000e+00 
2270.377 8.8238e-08 0.0000e+00 
2542.672 8.8238e-08 0.0000e+00 
2847.625 8.8238e-08 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 1.7648e-07 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
