@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 0.0000e+00 0.0000e+00 
  1.026 0.0000e+00 0.0000e+00 
  1.149 0.0000e+00 0.0000e+00 
  1.286 0.0000e+00 0.0000e+00 
  1.441 0.0000e+00 0.0000e+00 
  1.614 0.0000e+00 0.0000e+00 
  1.807 0.0000e+00 0.0000e+00 
  2.024 0.0000e+00 0.0000e+00 
  2.267 0.0000e+00 0.0000e+00 
  2.538 0.0000e+00 0.0000e+00 
  2.843 0.0000e+00 0.0000e+00 
  3.184 8.8238e-08 0.0000e+00 
  3.566 0.0000e+00 0.0000e+00 
  3.993 5.2943e-07 0.0000e+00 
  4.472 1.0589e-06 0.0000e+00 
  5.008 6.6178e-06 0.0000e+00 
  5.609 1.1206e-05 0.0000e+00 
  6.282 2.3648e-05 0.0000e+00 
  7.035 4.7207e-05 0.0000e+00 
  7.879 7.4208e-05 0.0000e+00 
  8.824 1.0209e-04 0.0000e+00 
  9.882 1.4639e-04 0.0000e+00 
 11.068 1.7374e-04 0.0000e+00 
 12.395 2.1142e-04 0.0000e+00 
 13.882 2.4883e-04 0.0000e+00 
 15.546 2.6321e-04 0.0000e+00 
 17.411 2.8174e-04 0.0000e+00 
 19.499 2.6551e-04 0.0000e+00 
 21.838 2.5377e-04 0.0000e+00 
 24.457 2.3057e-04 0.0000e+00 
 27.390 2.0974e-04 0.0000e+00 
 30.675 1.7427e-04 0.0000e+00 
 34.354 1.5283e-04 0.0000e+00 
 38.474 1.3553e-04 0.0000e+00 
 43.089 1.1144e-04 0.0000e+00 
 48.256 8.4973e-05 0.0000e+00 
 54.044 6.6708e-05 0.0000e+00 
 60.526 5.7002e-05 0.0000e+00 
 67.785 4.3325e-05 0.0000e+00 
 75.915 3.6707e-05 0.0000e+00 
 85.019 2.6471e-05 0.0000e+00 
 95.216 1.8530e-05 0.0000e+00 
106.636 1.5618e-05 0.0000e+00 
119.425 1.2442e-05 0.0000e+00 
133.748 8.4708e-06 0.0000e+00 
149.789 5.9119e-06 0.0000e+00 
167.754 4.2354e-06 0.0000e+00 
187.873 3.5295e-06 0.0000e+00 
210.406 2.8236e-06 0.0000e+00 
235.640 2.0295e-06 0.0000e+00 
263.902 1.4118e-06 0.0000e+00 
295.552 9.7062e-07 0.0000e+00 
330.999 6.1766e-07 0.0000e+00 
370.697 4.4119e-07 0.0000e+00 
415.156 4.4119e-07 0.0000e+00 
464.948 2.6471e-07 0.0000e+00 
520.711 1.7648e-07 0.0000e+00 
583.162 3.5295e-07 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
