@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 0.0000e+00 0.0000e+00 
  1.026 0.0000e+00 0.0000e+00 
  1.149 0.0000e+00 0.0000e+00 
  1.286 0.0000e+00 0.0000e+00 
  1.441 0.0000e+00 0.0000e+00 
  1.614 0.0000e+00 0.0000e+00 
  1.807 0.0000e+00 0.0000e+00 
  2.024 0.0000e+00 0.0000e+00 
  2.267 0.0000e+00 0.0000e+00 
  2.538 0.0000e+00 0.0000e+00 
  2.843 0.0000e+00 0.0000e+00 
  3.184 0.0000e+00 0.0000e+00 
  3.566 0.0000e+00 0.0000e+00 
  3.993 5.2944e-07 1.0000e+00 
  4.472 1.9413e-06 0.0000e+00 
  5.008 7.8531e-06 6.0000e+00 
  5.609 3.2737e-05 4.1000e+01 
  6.282 1.0368e-04 1.2400e+02 
  7.035 3.0035e-04 3.4700e+02 
  7.879 7.3114e-04 7.8100e+02 
  8.824 1.6992e-03 1.6730e+03 
  9.882 3.3448e-03 2.9620e+03 
 11.068 6.4917e-03 5.4920e+03 
 12.395 1.1012e-02 8.7770e+03 
 13.882 1.8696e-02 1.3718e+04 
 15.546 2.8011e-02 1.9257e+04 
 17.411 4.2604e-02 2.8136e+04 
 19.499 5.8220e-02 3.6898e+04 
 21.838 8.1871e-02 5.1346e+04 
 24.457 1.0456e-01 6.6236e+04 
 27.390 1.4030e-01 9.0424e+04 
 30.675 1.7222e-01 1.1354e+05 
 34.354 2.2258e-01 1.5202e+05 
 38.474 2.6564e-01 1.8636e+05 
 43.089 3.3371e-01 2.3685e+05 
 48.256 3.8573e-01 2.7771e+05 
 54.044 4.6868e-01 3.3482e+05 
 60.526 5.1617e-01 3.6171e+05 
 67.785 5.9360e-01 4.0279e+05 
 75.915 6.1281e-01 3.9677e+05 
 85.019 6.5250e-01 3.9967e+05 
 95.216 6.2540e-01 3.5886e+05 
106.636 6.1546e-01 3.2820e+05 
119.425 5.6032e-01 2.7700e+05 
133.748 4.7775e-01 2.1749e+05 
149.789 4.1999e-01 1.7660e+05 
167.754 3.3465e-01 1.3004e+05 
187.873 2.7675e-01 9.9266e+04 
210.406 2.0872e-01 6.9204e+04 
235.640 1.6403e-01 5.0467e+04 
263.902 1.1835e-01 3.3916e+04 
295.552 8.9615e-02 2.4299e+04 
330.999 6.2253e-02 1.5357e+04 
370.697 4.5956e-02 1.0842e+04 
415.156 3.1036e-02 6.9130e+03 
464.948 2.2249e-02 4.5930e+03 
520.711 1.4845e-02 2.9000e+03 
583.162 1.0469e-02 2.0370e+03 
653.102 6.8656e-03 1.2540e+03 
731.432 4.7501e-03 8.4400e+02 
819.155 3.0770e-03 5.3800e+02 
917.400 2.0959e-03 3.4100e+02 
1027.427 1.3524e-03 2.2000e+02 
1150.650 9.3329e-04 1.1300e+02 
1288.653 5.8473e-04 8.1000e+01 
1443.206 3.9425e-04 5.5000e+01 
1616.295 2.5845e-04 3.9000e+01 
1810.144 1.7130e-04 1.9000e+01 
2027.242 1.0624e-04 1.6000e+01 
2270.377 7.2708e-05 1.1000e+01 
2542.672 4.6853e-05 5.0000e+00 
2847.625 2.9736e-05 2.0000e+00 
3189.152 1.7559e-05 3.0000e+00 
3571.639 1.1646e-05 0.0000e+00 
4000.000 7.0590e-06 0.0000e+00 
